Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximum Earnings From Taxi,100.0,0.004674054466328682,https://leetcode.com/problems/maximum-earnings-from-taxi,"Array, Hash Table, Binary Search, Dynamic Programming, Sorting"
EASY,Repeated Substring Pattern,72.8,0.004865482308431229,https://leetcode.com/problems/repeated-substring-pattern,"String, String Matching, Z Algorithm, Knuth–Morris–Pratt Algorithm"
EASY,Best Time to Buy and Sell Stock,72.8,0.005725129719190818,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Largest Rectangle in Histogram,72.8,0.005066386121761833,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack, Range Minimum/Maximum Query"
HARD,First Missing Positive,72.8,0.0043542924641683575,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Target Sum,72.8,0.005273124567948673,https://leetcode.com/problems/target-sum,"Array, Dynamic Programming, Backtracking, Knapsack Problem, 0-1 Knapsack"
MEDIUM,Deepest Leaves Sum,72.8,0.00865860255321982,https://leetcode.com/problems/deepest-leaves-sum,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Find Pivot Index,72.8,0.006359855173262258,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
MEDIUM,Asteroid Collision,62.8,0.0048763237039410896,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Largest Number,62.8,0.004358516695030993,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
MEDIUM,3Sum,62.8,0.00396931495579606,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Wiggle Sort,62.8,0.006850289254783829,https://leetcode.com/problems/wiggle-sort,"Array, Greedy, Sorting"
MEDIUM,Rotting Oranges,62.8,0.005927623120132368,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Minimum Moves to Equal Array Elements II,62.8,0.006229382674978284,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-ii,"Array, Math, Sorting"
MEDIUM,Container With Most Water,62.8,0.0060648289121009525,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Remove Duplicates from Sorted Array,62.8,0.006356309367566439,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Longest Substring Without Repeating Characters,62.8,0.003977950880255266,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Generate Parentheses,62.8,0.007906619022006954,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
MEDIUM,Longest Consecutive Sequence,62.8,0.004720839544028881,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Capacity To Ship Packages Within D Days,62.8,0.007450837927194623,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
