Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Merge Intervals,100.0,0.005257639318283639,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
EASY,Remove All Adjacent Duplicates In String,89.4,0.007386812796909187,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,"String, Stack"
MEDIUM,Search in Rotated Sorted Array,89.4,0.0045462287719182275,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Insert Delete GetRandom O(1),88.0,0.005548641185565938,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Vowel Spellchecker,88.0,0.006145180774872724,https://leetcode.com/problems/vowel-spellchecker,"Array, Hash Table, String"
MEDIUM,Remove All Adjacent Duplicates in String II,86.5,0.006175710558084819,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
EASY,Climbing Stairs,84.8,0.005428138437253181,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Repeated DNA Sequences,81.1,0.0053823211304013015,https://leetcode.com/problems/repeated-dna-sequences,"Hash Table, String, Bit Manipulation, Sliding Window, Rolling Hash, Hash Function, Z Algorithm, Boyer–Moore String-Search Algorithm"
EASY,Sqrt(x),76.4,0.0042230778998847175,https://leetcode.com/problems/sqrtx,"Math, Binary Search, Newton's Method"
MEDIUM,Generate Parentheses,73.7,0.007906613058934668,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
EASY,Perfect Number,70.5,0.004987720727552762,https://leetcode.com/problems/perfect-number,Math
EASY,Logger Rate Limiter,70.5,0.007688314472535719,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
EASY,Sum of Left Leaves,70.5,0.0063030782792477666,https://leetcode.com/problems/sum-of-left-leaves,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Evaluate Reverse Polish Notation,62.1,0.005848824922720453,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack"
MEDIUM,Word Search,56.2,0.004794679923611521,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Implement Trie (Prefix Tree),56.2,0.006991485915704174,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Check If a String Contains All Binary Codes of Size K,56.2,0.0061637932999867775,https://leetcode.com/problems/check-if-a-string-contains-all-binary-codes-of-size-k,"Hash Table, String, Bit Manipulation, Rolling Hash, Hash Function, Directed Acyclic Graph"
MEDIUM,Number of Islands,47.9,0.006496039969534479,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Special Binary String,47.9,0.007943574057109139,https://leetcode.com/problems/special-binary-string,"String, Divide and Conquer, Sorting"
MEDIUM,Decode the Slanted Ciphertext,47.9,0.006761374332210344,https://leetcode.com/problems/decode-the-slanted-ciphertext,"String, Simulation"
MEDIUM,Maximum Palindromes After Operations,47.9,0.0047082602094137595,https://leetcode.com/problems/maximum-palindromes-after-operations,"Array, Hash Table, String, Greedy, Sorting, Counting"
HARD,Trapping Rain Water,47.9,0.006802842740558903,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Unique Paths,47.9,0.006717319386645839,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
