Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Design Hit Counter,100.0,0.006974238013047187,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,IP to CIDR,97.6,0.00538221325873398,https://leetcode.com/problems/ip-to-cidr,"String, Bit Manipulation"
MEDIUM,Design Tic-Tac-Toe,93.6,0.005875690354305425,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
MEDIUM,Find All Anagrams in a String,84.4,0.005432470095548809,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
MEDIUM,Step-By-Step Directions From a Binary Tree Node to Another,83.7,0.005646683688205461,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another,"String, Tree, Depth-First Search, Binary Tree, Binary Lifting, Lowest Common Ancestor"
MEDIUM,House Robber,83.7,0.005350273045599958,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Time Based Key-Value Store,79.9,0.005012869238368931,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,House Robber II,78.1,0.004540394014696185,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
MEDIUM,RLE Iterator,65.2,0.00595314006556534,https://leetcode.com/problems/rle-iterator,"Array, Design, Counting, Iterator"
EASY,Number of Recent Calls,63.3,0.007889251229126988,https://leetcode.com/problems/number-of-recent-calls,"Design, Queue, Data Stream"
HARD,Shortest Path in a Grid with Obstacles Elimination,63.3,0.004663196154145178,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,"Array, Breadth-First Search, Matrix"
MEDIUM,Longest Palindrome by Concatenating Two Letter Words,61.1,0.005345248500557581,https://leetcode.com/problems/longest-palindrome-by-concatenating-two-letter-words,"Array, Hash Table, String, Greedy, Counting"
MEDIUM,Snapshot Array,61.1,0.0036804327499644286,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design, Persistent Data Structure"
MEDIUM,Closest Leaf in a Binary Tree,61.1,0.004748327639894917,https://leetcode.com/problems/closest-leaf-in-a-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Unique Paths III,52.4,0.008294718904451284,https://leetcode.com/problems/unique-paths-iii,"Array, Backtracking, Bit Manipulation, Matrix, Hamiltonian Path"
MEDIUM,Permutation in String,52.4,0.004952173545670579,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
HARD,Text Justification,48.3,0.005189764247557102,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Number of Flowers in Full Bloom,43.0,0.005810253146364999,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set"
MEDIUM,Spiral Matrix,43.0,0.005762702899777518,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Merge Intervals,43.0,0.005257634241389205,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Shortest Path in Binary Matrix,43.0,0.00520525749603023,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Array, Breadth-First Search, Matrix"
HARD,Minimum Cost to Reach Destination in Time,43.0,0.0042231260093748765,https://leetcode.com/problems/minimum-cost-to-reach-destination-in-time,"Array, Dynamic Programming, Graph Theory, Dijkstra's Algorithm"
HARD,Count Integers in Intervals,43.0,0.0036180838948467304,https://leetcode.com/problems/count-integers-in-intervals,"Design, Segment Tree, Ordered Set"
MEDIUM,Minimum Knight Moves,43.0,0.0042057051162411535,https://leetcode.com/problems/minimum-knight-moves,"Breadth-First Search, Heuristic Search, Bidirectional Search, A* Search"
MEDIUM,Rotting Oranges,43.0,0.005927611556146032,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
HARD,Split Message Based on Limit,35.5,0.004206958073148974,https://leetcode.com/problems/split-message-based-on-limit,"String, Enumeration"
MEDIUM,Find the Length of the Longest Common Prefix,35.5,0.006226152649412633,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
MEDIUM,Finding Pairs With a Certain Sum,35.5,0.006154399134007348,https://leetcode.com/problems/finding-pairs-with-a-certain-sum,"Array, Hash Table, Design"
MEDIUM,Longest Mountain in Array,35.5,0.004245309894593405,https://leetcode.com/problems/longest-mountain-in-array,"Array, Two Pointers, Dynamic Programming, Enumeration"
MEDIUM,String to Integer (atoi),35.5,0.0021567113795046876,https://leetcode.com/problems/string-to-integer-atoi,String
EASY,Two Sum,35.5,0.0058009511386919775,https://leetcode.com/problems/two-sum,"Array, Hash Table"
