Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Shortest Distance from All Buildings,100.0,0.004497989850926615,https://leetcode.com/problems/shortest-distance-from-all-buildings,"Array, Breadth-First Search, Matrix"
MEDIUM,Find Duplicate File in System,75.0,0.00674891049279249,https://leetcode.com/problems/find-duplicate-file-in-system,"Array, Hash Table, String"
MEDIUM,Find First and Last Position of Element in Sorted Array,72.8,0.004950593660303967,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Merge Intervals,67.6,0.005257588139147594,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
HARD,Best Meeting Point,67.6,0.006143219217419532,https://leetcode.com/problems/best-meeting-point,"Array, Math, Sorting, Matrix"
MEDIUM,Minesweeper,64.3,0.006889985271010133,https://leetcode.com/problems/minesweeper,"Array, Depth-First Search, Breadth-First Search, Matrix"
HARD,Word Abbreviation,55.1,0.006282726355380241,https://leetcode.com/problems/word-abbreviation,"Array, String, Greedy, Trie, Sorting"
MEDIUM,Design Circular Queue,47.8,0.005521268075158022,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
MEDIUM,Shortest Path in Binary Matrix,47.8,0.005205279499335496,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Array, Breadth-First Search, Matrix"
MEDIUM,Game of Life,47.8,0.007294271449189198,https://leetcode.com/problems/game-of-life,"Array, Matrix, Simulation"
