Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Replace the Substring for Balanced String,100.0,0.004130803589722575,https://leetcode.com/problems/replace-the-substring-for-balanced-string,"String, Sliding Window"
MEDIUM,Rotate Non Negative Elements,87.5,0.004812251366473689,https://leetcode.com/problems/rotate-non-negative-elements,"Array, Simulation"
MEDIUM,Merge Operations to Turn Array Into a Palindrome,84.9,0.006884052800570817,https://leetcode.com/problems/merge-operations-to-turn-array-into-a-palindrome,"Array, Two Pointers, Greedy"
MEDIUM,Longest Substring Without Repeating Characters,78.7,0.00397788058102357,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Two Sum,74.7,0.005800918768980581,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Gas Station,69.9,0.004855720508729963,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Longest Palindromic Substring,63.6,0.0038470812842634973,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Container With Most Water,63.6,0.0060648042388392965,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Asteroid Collision,63.6,0.004876242625471,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
HARD,Create Maximum Number,63.6,0.003648742602965924,https://leetcode.com/problems/create-maximum-number,"Array, Two Pointers, Stack, Greedy, Monotonic Stack"
MEDIUM,Coin Change,63.6,0.004897299461902748,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
EASY,Valid Parentheses,63.6,0.004472528120893722,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Climbing Stairs,54.9,0.005428113338571589,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Remove Duplicates from Sorted Array II,54.9,0.0065155872701921635,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,"Array, Two Pointers"
EASY,Best Time to Buy and Sell Stock,54.9,0.005725108396973595,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Add Two Numbers,54.9,0.0049132544618928084,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Minimum Jumps to Reach Home,54.9,0.003102156963177964,https://leetcode.com/problems/minimum-jumps-to-reach-home,"Array, Hash Table, Breadth-First Search"
MEDIUM,Group Anagrams,54.9,0.007312852709282173,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Maximum Subarray,54.9,0.005373528008445135,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
