Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Asteroid Collision,100.0,0.004876274704449057,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,Number of Ways to Select Buildings,76.0,0.005096048097367843,https://leetcode.com/problems/number-of-ways-to-select-buildings,"String, Dynamic Programming, Prefix Sum"
HARD,Minimum Number of Increments on Subarrays to Form a Target Array,76.0,0.00782415775685754,https://leetcode.com/problems/minimum-number-of-increments-on-subarrays-to-form-a-target-array,"Array, Dynamic Programming, Stack, Greedy, Monotonic Stack"
MEDIUM,3Sum,76.0,0.003969310235048952,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Partition Equal Subset Sum,76.0,0.004989064888277077,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming, Knapsack Problem, 0-1 Knapsack"
MEDIUM,Gas Station,76.0,0.004855699521696011,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Longest Substring Without Repeating Characters,76.0,0.003977937162306769,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Rotting Oranges,76.0,0.005927611556146032,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,3Sum Closest,76.0,0.004920546481033491,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
MEDIUM,Minimum Falling Path Sum,76.0,0.00608463261983892,https://leetcode.com/problems/minimum-falling-path-sum,"Array, Dynamic Programming, Matrix"
MEDIUM,Container With Most Water,76.0,0.006064822594189541,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
