Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Interval List Intersections,100.0,0.007314300593300723,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Sweep Line"
HARD,Maximum Profit in Job Scheduling,92.7,0.005481218070846361,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Time Based Key-Value Store,89.7,0.005012868360437659,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Snapshot Array,86.1,0.0036804334569846037,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design, Persistent Data Structure"
MEDIUM,Non-overlapping Intervals,86.1,0.0057570014286809,https://leetcode.com/problems/non-overlapping-intervals,"Array, Dynamic Programming, Greedy, Sorting"
MEDIUM,Basic Calculator II,86.1,0.004708548744237933,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,LRU Cache,86.1,0.004786900551133637,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Remove Sub-Folders from the Filesystem,82.0,0.007860429223690901,https://leetcode.com/problems/remove-sub-folders-from-the-filesystem,"Array, String, Depth-First Search, Trie"
EASY,Transpose Matrix,76.9,0.007706216814342473,https://leetcode.com/problems/transpose-matrix,"Array, Matrix, Simulation"
MEDIUM,Integer to Roman,76.9,0.007149613342193813,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
EASY,Number of 1 Bits,70.3,0.007736193672933441,https://leetcode.com/problems/number-of-1-bits,"Divide and Conquer, Bit Manipulation"
MEDIUM,Valid Sudoku,70.3,0.00649508934413301,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Merge Intervals,70.3,0.005257660287454545,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
HARD,Guess the Word,61.0,0.003660275621759791,https://leetcode.com/problems/guess-the-word,"Array, Math, String, Minimax, Interactive, Game Theory"
HARD,Basic Calculator III,61.0,0.0053496846483939145,https://leetcode.com/problems/basic-calculator-iii,"Math, String, Stack, Recursion"
EASY,Diameter of Binary Tree,61.0,0.006608633570805926,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree, DP on Trees"
EASY,Merge Sorted Array,61.0,0.0055527998699896365,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
HARD,LFU Cache,61.0,0.0050029654220824695,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Merge k Sorted Lists,61.0,0.006029411849278554,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort"
