Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Valid Palindrome II,100.0,0.004461397771844857,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy"
EASY,Remove All Adjacent Duplicates In String,95.6,0.007386805626189108,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,"String, Stack"
MEDIUM,Knight Dialer,86.8,0.006210608296690475,https://leetcode.com/problems/knight-dialer,Dynamic Programming
MEDIUM,Number of Islands,82.8,0.0064960608357833936,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Squares of a Sorted Array,78.0,0.007406488657255577,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Analyze User Website Visit Pattern,78.0,0.0044332494543415715,https://leetcode.com/problems/analyze-user-website-visit-pattern,"Array, Hash Table, String, Sorting"
MEDIUM,Group Anagrams,62.9,0.007312907069303087,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Search a 2D Matrix II,62.9,0.005790459660375592,https://leetcode.com/problems/search-a-2d-matrix-ii,"Array, Binary Search, Divide and Conquer, Matrix"
MEDIUM,Word Search,62.9,0.004794691461141899,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Maximal Square,62.9,0.005074676265817781,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Meeting Rooms II,62.9,0.0052776827656154865,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,K Closest Points to Origin,62.9,0.006928822934040401,https://leetcode.com/problems/k-closest-points-to-origin,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect, K-D Tree"
EASY,First Bad Version,62.9,0.004751377114746554,https://leetcode.com/problems/first-bad-version,"Binary Search, Interactive"
