Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Cache With Time Limit,100.0,0.007630870705638099,https://leetcode.com/problems/cache-with-time-limit,
MEDIUM,Time Based Key-Value Store,91.5,0.005012842914836446,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Longest Substring Without Repeating Characters,89.7,0.003977950880255266,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Course Schedule II,87.7,0.005608808202271377,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
HARD,Reconstruct Itinerary,87.7,0.004489977329533721,https://leetcode.com/problems/reconstruct-itinerary,"Array, String, Depth-First Search, Graph Theory, Sorting, Heap (Priority Queue), Eulerian Circuit, Eulerian Path, Semi-Eulerian Graph"
HARD,Contains Duplicate III,87.7,0.002508750925706753,https://leetcode.com/problems/contains-duplicate-iii,"Array, Sliding Window, Sorting, Bucket Sort, Ordered Set"
MEDIUM,Meeting Rooms II,85.5,0.005277669191732435,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
EASY,Logger Rate Limiter,85.5,0.007688323322346132,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,Merge Intervals,83.2,0.005257651100699819,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Parallel Courses,80.5,0.0062360854065326935,https://leetcode.com/problems/parallel-courses,"Graph Theory, Topological Sort, Directed Acyclic Graph"
EASY,Contains Duplicate II,74.1,0.005178512447791841,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
MEDIUM,Word Search,74.1,0.004794694566253784,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Network Delay Time,70.0,0.0061357168148367894,https://leetcode.com/problems/network-delay-time,"Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path, Dijkstra's Algorithm"
EASY,Contains Duplicate,70.0,0.006462908251312051,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
MEDIUM,String to Integer (atoi),70.0,0.0021567208965441054,https://leetcode.com/problems/string-to-integer-atoi,String
HARD,First Missing Positive,64.9,0.0043542924641683575,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,LRU Cache,64.9,0.004786894555695717,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Summary Ranges,64.9,0.005461922682779337,https://leetcode.com/problems/summary-ranges,Array
MEDIUM,Top K Frequent Elements,58.5,0.006713897544786601,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Word Break,58.5,0.004977880519578815,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization, Brute-Force Search"
MEDIUM,Koko Eating Bananas,58.5,0.005039594537339528,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Fruit Into Baskets,49.4,0.005215364637875424,https://leetcode.com/problems/fruit-into-baskets,"Array, Hash Table, Sliding Window"
MEDIUM,All Paths From Source to Target,49.4,0.008377105584081028,https://leetcode.com/problems/all-paths-from-source-to-target,"Backtracking, Depth-First Search, Breadth-First Search, Graph Theory, Directed Acyclic Graph"
MEDIUM,Maximum Length of Repeated Subarray,49.4,0.005153868993458293,https://leetcode.com/problems/maximum-length-of-repeated-subarray,"Array, Binary Search, Dynamic Programming, Sliding Window, Rolling Hash, Hash Function"
MEDIUM,Snapshot Array,49.4,0.0036804521594194805,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design, Persistent Data Structure"
HARD,LFU Cache,49.4,0.005002959336524059,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Find Peak Element,49.4,0.004714060871000334,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
EASY,Valid Anagram,49.4,0.00685325182319983,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
HARD,Design Search Autocomplete System,49.4,0.0050057343632813976,https://leetcode.com/problems/design-search-autocomplete-system,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream"
